"customer","promoType","promoDescription","startDate","endDate","vlMarketingNum","marketingNum","status","forecast","actual"
"Walmart.com","BER","Retail Ad","2/25/2012","6/17/2013","R1000PP333","344BER767","running","773","941"
"Tiger Direct","COOP","Retail","3/1/2015","6/5/2016","R100BER396","583BER155","POP","815","271"
"Amazon","BER","Retail Ad","2/15/2010","6/12/2011","R101COOP395","637COOP719","approved","644","1731"
"Best Buy","BER","Description","7/30/2010","8/20/2011","R102BER825","96COOP323","POP","799","1497"
"Frys Electronics","BER","9D @ $68","11/15/2016","10/12/2017","R102COOP874","445PP508","running","951","1310"
"PriceSmart","PP","Description","9/18/2012","9/14/2013","R104PP383","84BER910","approved","377","1592"
"QVC","BER","Retail Ad","4/19/2016","7/14/2017","R105COOP419","807BER663","POP","633","557"
"Best Buy.com","BER","Retail Ad","4/13/2014","7/11/2015","R107COOP995","433BER394","POP","819","1756"
"Sears Holdings","BER","9D @ $68","2/30/2013","6/20/2014","R109BER214","759COOP770","running","787","503"
"HSN Direct International","BER","9D @ $68","2/22/2015","6/16/2016","R109PP496","417PP26","accepted","961","383"
"Ingram Micro","COOP","Retail","7/10/2012","8/10/2013","R10BER960","674PP175","approved","290","1083"
"AAFES","BER","t","10/1/2015","10/31/2015","R11070","","approved","0","0"
"BJs Wholesale Club","PP","Retail Ad","10/6/2010","10/8/2011","R110PP703","540PP868","running","328","152"
"PriceSmart","BER","Retail Ad","11/30/2015","10/20/2016","R111BER279","907PP322","approved","524","1607"
"Sears Holdings/Kmart","PP","Retail Ad","9/22/2011","9/16/2012","R111COOP912","501COOP252","running","616","1018"
"HSN Direct International","PP","Description","1/18/2015","5/14/2016","R111PP580","369BER505","approved","821","1497"
"Frys Electronics","COOP","Description","2/18/2015","6/14/2016","R111PP72","993BER419","running","312","510"
"Tiger Direct","COOP","9D @ $68","7/1/2011","8/5/2012","R112COOP819","692BER171","accepted","354","1667"
"BJs Wholesale Club","PP","9D @ $68","6/20/2010","8/15/2011","R112PP468","93PP971","running","833","550"
"Kohls","BER","Retail Ad","10/5/2014","10/7/2015","R113COOP30","773BER94","running","832","271"
"PriceSmart","BER","Description","4/26/2016","7/18/2017","R113COOP553","600COOP25","approved","570","1800"
"Kohls","COOP","Description","12/10/2016","11/10/2017","R113PP181","550BER224","accepted","798","910"
"Synnex Canada","BER","9D @ $68","1/21/2010","5/15/2011","R113PP396","811COOP443","POP","718","481"
"AAFES","BER","9D @ $68","1/25/2012","5/17/2013","R114BER862","440PP259","archived","857","375"
"Frys Electronics","BER","Retail","1/26/2016","5/18/2017","R114BER958","16BER801","archived","568","1839"
"QVC","BER","9D @ $68","11/18/2012","10/14/2013","R115COOP428","723COOP209","approved","692","212"
"PriceSmart","BER","Description","5/5/2016","7/7/2017","R115PP868","942BER644","accepted","487","1394"
"Tiger Direct","COOP","Retail","8/7/2012","9/8/2013","R119PP390","106BER51","accepted","386","1470"
"Best Buy.com","PP","Description","3/12/2016","6/11/2017","R119PP396","542PP112","approved","403","913"
"Ingram Micro","COOP","Retail Ad 9D","1/14/2016","5/12/2017","R11COOP77","711BER478","running","487","788"
"Tiger Direct","BER","Retail Ad 9D","4/4/2011","7/7/2012","R122BER300","667BER317","accepted","383","1186"
"PriceSmart","PP","9D @ $68","4/6/2014","7/8/2015","R122COOP751","740BER861","accepted","833","1900"
"Kohls","COOP","Description","7/19/2013","8/14/2014","R122PP199","417PP858","approved","291","733"
"Target.com","PP","Retail Ad 9D","2/13/2012","6/11/2013","R124COOP858","705PP482","accepted","335","1123"
"Kohls","BER","Retail Ad","9/28/2010","9/19/2011","R125PP374","352PP636","accepted","417","1573"
"Best Buy","COOP","9D @ $68","10/21/2011","10/15/2012","R127BER671","245COOP847","approved","386","1166"
"HSN Direct International","PP","9D @ $68","11/6/2015","10/8/2016","R127BER684","39COOP451","archived","989","529"
"PriceSmart","BER","9D @ $68","1/27/2014","5/18/2015","R127PP582","","approved","0","0"
"Sears Holdings/Kmart","BER","Retail","9/6/2010","9/8/2011","R129PP207","898PP523","accepted","370","1657"
"Bluestem Brands","BER","Retail","11/27/2015","10/18/2016","R12COOP776","505PP668","approved","201","702"
"Bluestem Brands","BER","Retail Ad 9D","8/17/2016","9/13/2017","R133COOP361","976PP1000","running","399","1983"
"Synnex Canada","BER","Description","5/8/2014","7/9/2015","R134PP269","540PP686","running","782","596"
"Sears Holdings","COOP","Retail","11/1/2016","10/5/2017","R135BER428","912PP695","accepted","633","1038"
"PriceSmart","BER","Description","11/26/2012","10/18/2013","R135PP411","633PP542","approved","418","243"
"BJs Wholesale Club","COOP","9D @ $68","11/16/2011","10/13/2012","R135PP629","675COOP355","POP","911","1370"
"Kohls","PP","9D @ $68","3/11/2014","6/10/2015","R136COOP520","325COOP527","approved","946","1064"
"NEXCOM","PP","Retail Ad 9D","4/21/2016","7/15/2017","R141BER732","906COOP434","accepted","271","511"
"Bluestem Brands","BER","Retail Ad 9D","1/28/2016","5/19/2017","R141PP83","177COOP36","POP","911","689"
"Best Buy.com","COOP","Retail Ad 9D","5/28/2011","7/19/2012","R142COOP661","782BER703","approved","895","925"
"Amazon Canada","BER","Description","7/14/2016","8/12/2017","R142PP422","133PP86","approved","269","489"
"Walmart.com","PP","Retail","11/18/2011","10/14/2012","R142PP861","975BER645","accepted","447","1450"
"Synnex Canada","COOP","Retail Ad","7/3/2011","8/6/2012","R144COOP486","426PP371","POP","248","254"
"HSN Direct International","COOP","Retail Ad","10/19/2010","10/14/2011","R145BER407","837PP952","archived","704","100"
"Sears Holdings/Kmart","COOP","Description","2/19/2012","6/14/2013","R145COOP439","225PP912","approved","774","1267"
"BJs Wholesale Club","PP","Retail","2/4/2012","6/7/2013","R145PP672","279BER876","POP","265","1085"
"Walmart.com","COOP","Retail Ad","7/31/2011","8/20/2012","R146BER179","222PP456","accepted","973","687"
"AAFES","BER","Retail Ad","5/19/2014","7/14/2015","R146PP863","613COOP337","POP","752","1099"
"Best Buy.com","BER","Retail","8/23/2012","9/16/2013","R147BER692","491COOP862","approved","555","454"
"Ingram Micro","PP","Retail Ad","11/2/2015","10/6/2016","R14COOP186","415PP724","accepted","252","1984"
"Best Buy.com","PP","Retail Ad","1/9/2011","5/9/2012","R14COOP580","745PP780","approved","843","1163"
"Best Buy","BER","Retail Ad 9D","4/15/2010","7/12/2011","R151BER710","497COOP459","approved","401","712"
"Best Buy.com","COOP","Retail","6/29/2013","8/19/2014","R151BER748","4COOP124","approved","353","1130"
"Bluestem Brands","PP","Retail","8/26/2013","9/18/2014","R156PP584","675BER700","accepted","936","801"
"AAFES","BER","Retail Ad 9D","3/21/2010","6/15/2011","R159BER36","378COOP351","approved","968","740"
"Bluestem Brands","BER","Retail Ad 9D","2/23/2014","6/16/2015","R15BER695","709PP487","approved","689","949"
"HSN Direct International","BER","Description","5/3/2013","7/6/2014","R15COOP273","88BER866","approved","433","1600"
"Ingram Micro","PP","Retail Ad 9D","3/3/2013","6/6/2014","R15PP307","932COOP942","approved","582","1952"
"Amazon","COOP","Retail","11/10/2010","10/10/2011","R160COOP603","400COOP466","approved","255","661"
"QVC","BER","Description","1/18/2013","5/14/2014","R161BER450","717COOP754","POP","455","251"
"Frys Electronics","COOP","9D @ $68","7/1/2012","8/5/2013","R161PP261","344BER870","approved","703","1921"
